name,year,selling_price,km_driven,mileage,engine,max_power,torque,seats,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
Maruti Swift Dzire VDI,2014,450000,0.061640208502086034,0.557142857142857,0.2093959731543624,0.11220043572984752,190.0,5,True,False,False,True,False,True,False,False,False,False
Skoda Rapid 1.5 TDI Ambition,2014,370000,0.05083721111514047,0.5033333333333333,0.2932885906040268,0.1925925925925926,250.0,5,True,False,False,True,False,True,False,True,False,False
Honda City 2017-2020 EXi,2006,158000,0.0593101502421566,0.4214285714285714,0.2929530201342282,0.12309368191721136,12.7,5,False,False,True,True,False,True,False,False,False,True
Hyundai i20 Sportz Diesel,2010,225000,0.053802739809596115,0.5476190476190476,0.25906040268456376,0.15577342047930287,22.4,5,True,False,False,True,False,True,False,False,False,False
Maruti Swift VXI BSIII,2007,130000,0.05083721111514047,0.38333333333333336,0.22617449664429531,0.15087145969498916,11.5,5,False,False,True,True,False,True,False,False,False,False
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,0.019063689388829953,0.4795238095238095,0.19228187919463088,0.13360566448801747,113.75,5,False,False,True,True,False,True,False,False,False,False
Maruti Wagon R LXI DUO BSIII,2007,96000,0.07413779371443484,0.4119047619047619,0.14664429530201342,0.06726579520697169,7.8,5,False,True,False,True,False,True,False,False,False,False
Maruti 800 DX BSII,2001,45000,0.0021178111347976833,0.38333333333333336,0.057718120805369116,0.011437908496732041,59.0,4,False,False,True,True,False,True,False,True,False,False
Toyota Etios VXD,2011,350000,0.03812780242461626,0.5616666666666666,0.2483221476510067,0.09340958605664489,170.0,5,True,False,False,True,False,True,False,False,False,False
Ford Figo Diesel Celebration Edition,2013,200000,0.07159591197633,0.47619047619047616,0.2600671140939598,0.09613289760348585,160.0,5,True,False,False,True,False,True,False,False,False,False
Renault Duster 110PS Diesel RxL,2014,500000,0.028807569384898507,0.45261904761904764,0.2808724832214765,0.20601851851851855,248.0,5,True,False,False,True,False,True,False,True,False,False
Maruti Zen LX,2005,92000,0.04236427198812433,0.4119047619047619,0.12382550335570472,0.07407407407407408,78.0,5,False,False,True,True,False,True,False,True,False,False
Maruti Swift Dzire VDi,2009,280000,0.0593101502421566,0.4595238095238095,0.2093959731543624,0.11192810457516343,190.0,5,True,False,False,True,False,True,False,True,False,False
Maruti Wagon R LXI Minor,2009,180000,0.03812780242461626,0.44999999999999996,0.14664429530201342,0.0931372549019608,84.0,5,False,False,True,True,False,True,False,True,False,False
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,0.01694545460707592,0.4321428571428571,0.19261744966442954,0.1339869281045752,115.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Ertiga SHVS VDI,2016,778000,0.02965486329760012,0.5838095238095238,0.2093959731543624,0.1516884531590414,200.0,7,True,False,False,True,False,True,False,True,False,False
Hyundai i20 1.4 CRDi Asta,2012,500000,0.022452865039636408,0.5476190476190476,0.25906040268456376,0.15577342047930287,22.4,5,True,False,False,True,False,True,False,True,False,False
Maruti Alto LX,2002,150000,0.033891332861108195,0.469047619047619,0.057718120805369116,0.036764705882352935,62.0,5,False,False,True,True,False,True,False,True,False,False
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,0.04236427198812433,0.5366666666666666,0.25906040268456376,0.15231481481481485,219.7,5,True,False,False,True,False,True,False,False,False,False
Mahindra Verito 1.5 D4 BSIII,2011,174000,0.04236427198812433,0.5,0.2808724832214765,0.08523965141612201,160.0,5,True,False,False,True,False,True,False,True,False,False
Honda WR-V i-DTEC VX,2017,950000,0.021181924170583986,0.6071428571428571,0.2932885906040268,0.17919389978213512,200.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Swift Dzire ZDI,2015,525000,0.01694545460707592,0.633095238095238,0.2093959731543624,0.11220043572984752,190.0,5,True,False,False,True,False,True,False,False,False,False
Maruti SX4 ZDI,2012,600000,0.030502157210301736,0.5119047619047619,0.2093959731543624,0.15250544662309368,200.0,5,True,False,False,True,False,True,False,False,False,False
Tata Tigor 2017-2020 XZ,2018,500000,0.014827219825321886,0.48333333333333334,0.1929530201342282,0.13891612200435732,114.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Baleno Delta 1.2,2016,575000,0.019063689388829953,0.5095238095238095,0.19228187919463088,0.1369825708061002,115.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Alto 800 LXI,2017,275000,0.011861691130866239,0.588095238095238,0.057718120805369116,0.0394880174291939,69.0,5,False,False,True,True,False,True,False,False,False,False
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,0.02965486329760012,0.4333333333333333,0.2093959731543624,0.11165577342047932,172.5,7,True,False,False,True,False,True,False,False,False,False
Maruti Wagon R LXI Minor,2009,220000,0.05083721111514047,0.44999999999999996,0.14664429530201342,0.0931372549019608,84.0,5,False,False,True,True,False,True,False,False,False,False
Maruti Omni E MPI STD BS IV,2018,254999,0.010590750261813818,0.4,0.057718120805369116,0.0038126361655773655,59.0,8,False,False,True,True,False,True,False,False,False,False
Maruti Vitara Brezza LDi Option,2017,670000,0.02965486329760012,0.5785714285714285,0.2093959731543624,0.1516884531590414,200.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Omni 8 Seater BSIV,2012,150000,0.014827219825321886,0.3333333333333333,0.057718120805369116,0.00599128540305012,6.1,5,False,False,True,True,False,True,False,True,False,False
Hyundai i20 1.2 Asta Dual Tone,2018,730000,0.0010112452848093758,0.4428571428571429,0.19228187919463088,0.1335239651416122,114.7,5,False,False,True,True,False,True,False,False,False,False
Maruti Vitara Brezza LDi,2017,650000,0.006862657045926719,0.5785714285714285,0.2093959731543624,0.1516884531590414,200.0,5,True,False,False,True,False,True,False,False,False,False
Maruti Alto 800 CNG LXI Optional,2019,330000,0.004236045916551717,0.7961904761904761,0.057718120805369116,0.0204248366013072,60.0,4,False,False,False,True,False,True,False,True,False,False
Maruti Alto K10 VXI Airbag,2019,366000,0.006354280698305751,0.5702380952380952,0.12550335570469798,0.09340958605664489,90.0,5,False,False,True,True,False,True,False,False,False,False
Hyundai Verna VTVT 1.6 SX Option,2019,1149000,0.0021178111347976833,0.40476190476190477,0.324496644295302,0.24101307189542487,151.0,5,False,False,True,True,False,True,False,False,False,False
Datsun GO D,2016,150000,0.01779274851977753,0.4911904761904761,0.19261744966442954,0.0931372549019608,104.0,5,False,False,True,True,False,True,False,False,False,False
Tata Safari DICOR 2.2 LX 4x2,2011,425000,0.025418393734092055,0.33166666666666667,0.5218120805369127,0.2865740740740741,320.0,7,True,False,False,True,False,True,False,True,False,False
